ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AT021,1076,504,5,16945,0.038,-0.329,0.104,0.517,54.8,-1.35,0.18,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,22.336,268.6115029,autumn
AT021,1076,506,27,22021,0.009,-0.276,0.1,0.551,40.5,-1.38,0.19,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,22.4662,268.6115029,autumn
AT021,1076,508,26,19252,0.065,-0.252,0.092,0.558,37.8,-1.53,0.21,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,23.1172,268.6115029,autumn
AT021,1076,508,29,12712,0.106,-0.172,0.14,0.608,20.5,-1.5,0.25,AT,21,2,autumn,0.1,633.6115029,9.406256984,4,22.987,268.6115029,autumn
AR023,872,,,,,,,,,-2.18,0.93,,,,,0.1,578.2908258,9.496835091,,,213.2908258,
AR025,878,,,,,,,,,-2.21,0.86,,,,,0.1,580.1822773,10.82626901,,,215.1822773,
AR027,884,,,,,,,,,-2.16,0.89,,,,,0.1,581.8823904,10.72000015,,,216.8823904,
AR029,890,,,,,,,,,-2.47,0.93,,,,,0.1,583.3150212,11.4173614,,,218.3150212,
AR031,896,,,,,,,,,-2.24,0.87,,,,,0.1,585.0734289,10.75645078,,,220.0734289,
AR033,902,,,,,,,,,-2.29,1.04,,,,,0.1,586.4523051,10.00155194,,,221.4523051,
ASavg01,906,,,,,,,,,-2.09,,,,,,0.1,587.6998835,10.67123817,,,222.6998835,
AS101,906,,,,,,,,,-1.92,,,,,,0.1,587.6998835,10.67123817,,,222.6998835,
AS201,906,,,,,,,,,-2.13,,,,,,0.1,587.6998835,10.67123817,,,222.6998835,
AS301,906,,,,,,,,,,,,,,,0.1,587.6998835,10.67123817,,,222.6998835,
AS401,906,,,,,,,,,-2.1,,,,,,0.1,587.6998835,10.67123817,,,222.6998835,
